Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount
North India,Ladoo,Karva Chauth,Punjabi,Upper,186.91
North India,Rasgulla,Baisakhi,Urdu,Upper,726.86
South India,Mysore Pak,Pongal,Tamil,Middle,336.39
East India,Chhena Poda,Makar Sankranti,Odia,Upper,212.54
West India,Ladoo,Diwali,Konkani,Upper,925.42
West India,Shrikhand,Navratri,Konkani,Upper,250.05
East India,Pitha,Durga Puja,Odia,Lower,555.88
South India,Mysore Pak,Onam,Telugu,Upper,929.74
East India,Chhena Poda,Rath Yatra,Assamese,Lower,575.64
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Lower,378.53
North India,Rasgulla,Holi,Hindi,Upper,531.41
North India,Ladoo,Baisakhi,Urdu,Lower,478.46
North India,Barfi,Diwali,Hindi,Middle,121.73
North India,Gulab Jamun,Baisakhi,Urdu,Upper,861.65
East India,Chhena Poda,Rath Yatra,Assamese,Middle,531.01
West India,Puran Poli,Navratri,Gujarati,Middle,991.66
East India,Pitha,Rath Yatra,Assamese,Upper,214.25
South India,Kozhukattai,Ugadi,Telugu,Lower,339.53
North India,Barfi,Baisakhi,Urdu,Middle,853.48
South India,Kozhukattai,Ugadi,Kannada,Middle,320.59
West India,Shrikhand,Diwali,Gujarati,Middle,436.0
West India,Ladoo,Ganesh Chaturthi,Gujarati,Upper,678.04
East India,Chhena Poda,Poila Baisakh,Bengali,Middle,623.35
North India,Gulab Jamun,Diwali,Punjabi,Lower,710.89
West India,Puran Poli,Diwali,Konkani,Upper,558.73
South India,Mysore Pak,Onam,Tamil,Lower,649.46
North India,Gulab Jamun,Karva Chauth,Hindi,Upper,840.97
East India,Chhena Poda,Poila Baisakh,Odia,Middle,575.18
East India,Chhena Poda,Poila Baisakh,Odia,Lower,492.29
North India,Ladoo,Diwali,Hindi,Upper,606.8
West India,Puran Poli,Navratri,Konkani,Upper,608.43
North India,Barfi,Holi,Urdu,Upper,907.96
East India,Chhena Poda,Rath Yatra,Odia,Upper,832.42
South India,Payasam,Diwali,Malayalam,Upper,108.71
East India,Rasgulla,Makar Sankranti,Bengali,Middle,424.67
North India,Rasgulla,Baisakhi,Hindi,Middle,820.66
East India,Pitha,Durga Puja,Odia,Middle,202.06
South India,Mysore Pak,Pongal,Telugu,Middle,353.23
West India,Ladoo,Gudi Padwa,Konkani,Lower,454.18
South India,Boondi Laddu,Ugadi,Tamil,Lower,728.78
South India,Mysore Pak,Onam,Kannada,Upper,258.25
East India,Pitha,Rath Yatra,Assamese,Middle,896.4
North India,Gulab Jamun,Karva Chauth,Punjabi,Upper,481.04
East India,Chhena Poda,Durga Puja,Assamese,Upper,103.42
East India,Pitha,Makar Sankranti,Assamese,Middle,118.33
East India,Rasgulla,Rath Yatra,Bengali,Upper,194.28
South India,Mysore Pak,Diwali,Telugu,Middle,288.69
North India,Barfi,Holi,Urdu,Lower,206.33
South India,Payasam,Pongal,Kannada,Middle,266.8
West India,Ladoo,Navratri,Gujarati,Lower,974.03
West India,Shrikhand,Navratri,Konkani,Middle,526.93
South India,Mysore Pak,Onam,Telugu,Upper,928.53
East India,Sandesh,Durga Puja,Assamese,Lower,842.12
East India,Pitha,Poila Baisakh,Assamese,Middle,831.06
East India,Pitha,Durga Puja,Bengali,Middle,725.13
West India,Shrikhand,Ganesh Chaturthi,Konkani,Upper,562.94
West India,Mohanthal,Gudi Padwa,Konkani,Upper,221.35
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Middle,568.19
South India,Kozhukattai,Ugadi,Kannada,Middle,120.2
North India,Barfi,Holi,Punjabi,Lower,662.32
North India,Gulab Jamun,Baisakhi,Urdu,Middle,585.65
East India,Rasgulla,Durga Puja,Odia,Lower,458.46
North India,Ladoo,Holi,Hindi,Lower,957.52
East India,Chhena Poda,Poila Baisakh,Odia,Upper,500.56
North India,Rasgulla,Holi,Hindi,Middle,466.6
North India,Rasgulla,Holi,Punjabi,Upper,867.9
West India,Puran Poli,Gudi Padwa,Gujarati,Middle,187.52
South India,Kozhukattai,Ugadi,Kannada,Middle,212.26
East India,Sandesh,Makar Sankranti,Bengali,Middle,886.13
North India,Gulab Jamun,Diwali,Punjabi,Middle,557.27
East India,Sandesh,Durga Puja,Odia,Upper,984.26
East India,Sandesh,Poila Baisakh,Bengali,Lower,787.79
East India,Rasgulla,Poila Baisakh,Odia,Upper,944.83
South India,Mysore Pak,Ugadi,Telugu,Middle,278.88
South India,Payasam,Diwali,Tamil,Lower,671.99
North India,Barfi,Karva Chauth,Punjabi,Upper,566.52
East India,Sandesh,Rath Yatra,Odia,Middle,198.23
East India,Rasgulla,Makar Sankranti,Assamese,Middle,189.6
South India,Kozhukattai,Diwali,Malayalam,Upper,555.56
North India,Rasgulla,Diwali,Punjabi,Lower,583.26
East India,Chhena Poda,Rath Yatra,Assamese,Lower,610.36
South India,Payasam,Ugadi,Tamil,Middle,289.16
East India,Pitha,Durga Puja,Bengali,Upper,184.37
West India,Shrikhand,Navratri,Konkani,Upper,520.99
North India,Ladoo,Baisakhi,Hindi,Lower,796.44
West India,Mohanthal,Gudi Padwa,Konkani,Lower,809.84
West India,Puran Poli,Navratri,Gujarati,Upper,116.22
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Middle,781.14
West India,Mohanthal,Gudi Padwa,Gujarati,Upper,741.85
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,497.45
West India,Mohanthal,Navratri,Gujarati,Upper,101.54
South India,Payasam,Diwali,Kannada,Middle,770.77
South India,Payasam,Pongal,Malayalam,Lower,498.82
South India,Boondi Laddu,Diwali,Telugu,Lower,294.69
East India,Pitha,Makar Sankranti,Bengali,Lower,547.59
East India,Pitha,Durga Puja,Assamese,Upper,519.79
West India,Mohanthal,Gudi Padwa,Gujarati,Upper,851.4
South India,Payasam,Diwali,Malayalam,Upper,292.0
North India,Rasgulla,Diwali,Urdu,Upper,510.97
West India,Puran Poli,Ganesh Chaturthi,Konkani,Upper,972.7
South India,Mysore Pak,Onam,Tamil,Upper,787.74
North India,Gulab Jamun,Diwali,Punjabi,Upper,620.11
South India,Payasam,Pongal,Malayalam,Lower,113.73
South India,Boondi Laddu,Ugadi,Kannada,Lower,797.73
East India,Sandesh,Rath Yatra,Odia,Lower,580.43
North India,Ladoo,Karva Chauth,Urdu,Lower,333.46
South India,Kozhukattai,Ugadi,Tamil,Upper,165.22
East India,Rasgulla,Makar Sankranti,Assamese,Middle,194.72
East India,Chhena Poda,Durga Puja,Odia,Lower,432.41
North India,Rasgulla,Baisakhi,Punjabi,Upper,591.2
North India,Barfi,Diwali,Hindi,Middle,497.89
West India,Puran Poli,Navratri,Marathi,Lower,438.93
South India,Boondi Laddu,Ugadi,Telugu,Lower,933.5
North India,Rasgulla,Holi,Hindi,Lower,491.48
South India,Mysore Pak,Diwali,Malayalam,Upper,891.77
West India,Mohanthal,Diwali,Gujarati,Middle,985.19
North India,Ladoo,Diwali,Punjabi,Middle,119.16
East India,Sandesh,Makar Sankranti,Assamese,Middle,462.09
East India,Rasgulla,Poila Baisakh,Odia,Middle,690.31
West India,Mohanthal,Diwali,Marathi,Middle,198.01
South India,Kozhukattai,Onam,Tamil,Lower,103.67
North India,Rasgulla,Baisakhi,Urdu,Middle,278.34
North India,Ladoo,Karva Chauth,Punjabi,Lower,870.25
East India,Sandesh,Rath Yatra,Odia,Upper,737.72
East India,Sandesh,Poila Baisakh,Odia,Upper,757.22
East India,Pitha,Poila Baisakh,Assamese,Lower,945.33
East India,Chhena Poda,Rath Yatra,Odia,Middle,190.96
East India,Pitha,Rath Yatra,Assamese,Lower,701.64
East India,Chhena Poda,Rath Yatra,Assamese,Upper,386.14
East India,Rasgulla,Durga Puja,Odia,Upper,482.04
South India,Payasam,Pongal,Malayalam,Lower,591.89
South India,Mysore Pak,Onam,Tamil,Middle,202.06
North India,Gulab Jamun,Diwali,Hindi,Lower,180.86
North India,Barfi,Diwali,Hindi,Upper,800.85
West India,Puran Poli,Gudi Padwa,Marathi,Lower,720.53
South India,Boondi Laddu,Onam,Telugu,Upper,791.27
East India,Sandesh,Rath Yatra,Assamese,Upper,370.59
North India,Rasgulla,Baisakhi,Urdu,Middle,219.37
West India,Ladoo,Gudi Padwa,Gujarati,Lower,188.29
East India,Pitha,Poila Baisakh,Assamese,Lower,365.89
North India,Gulab Jamun,Diwali,Punjabi,Lower,755.91
East India,Sandesh,Poila Baisakh,Bengali,Lower,373.79
East India,Sandesh,Makar Sankranti,Odia,Upper,237.72
North India,Ladoo,Karva Chauth,Punjabi,Middle,996.59
East India,Rasgulla,Rath Yatra,Assamese,Upper,798.16
East India,Rasgulla,Makar Sankranti,Bengali,Middle,115.23
West India,Puran Poli,Ganesh Chaturthi,Marathi,Upper,208.93
North India,Rasgulla,Baisakhi,Urdu,Lower,757.09
West India,Mohanthal,Ganesh Chaturthi,Konkani,Lower,782.36
West India,Mohanthal,Gudi Padwa,Marathi,Middle,237.63
West India,Ladoo,Diwali,Konkani,Lower,397.18
East India,Sandesh,Durga Puja,Odia,Upper,959.85
East India,Rasgulla,Rath Yatra,Odia,Middle,297.18
North India,Barfi,Baisakhi,Hindi,Upper,635.37
East India,Pitha,Poila Baisakh,Bengali,Upper,442.87
West India,Puran Poli,Diwali,Marathi,Middle,132.22
North India,Rasgulla,Karva Chauth,Punjabi,Middle,350.31
West India,Ladoo,Navratri,Marathi,Middle,102.86
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Middle,947.99
South India,Kozhukattai,Onam,Telugu,Lower,866.55
North India,Rasgulla,Karva Chauth,Punjabi,Lower,742.53
South India,Kozhukattai,Onam,Kannada,Lower,132.91
South India,Payasam,Onam,Telugu,Upper,296.19
East India,Pitha,Rath Yatra,Bengali,Upper,162.4
South India,Kozhukattai,Pongal,Kannada,Middle,437.84
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,327.04
South India,Boondi Laddu,Diwali,Kannada,Lower,113.07
South India,Payasam,Pongal,Telugu,Lower,786.47
North India,Rasgulla,Holi,Hindi,Lower,194.57
West India,Shrikhand,Navratri,Konkani,Middle,574.69
North India,Barfi,Holi,Hindi,Lower,591.2
West India,Shrikhand,Navratri,Konkani,Upper,789.36
West India,Ladoo,Ganesh Chaturthi,Marathi,Lower,298.68
East India,Pitha,Makar Sankranti,Assamese,Lower,828.96
East India,Pitha,Rath Yatra,Bengali,Middle,645.75
North India,Gulab Jamun,Diwali,Hindi,Middle,955.94
North India,Rasgulla,Baisakhi,Hindi,Middle,860.01
South India,Kozhukattai,Ugadi,Kannada,Upper,898.36
West India,Mohanthal,Diwali,Konkani,Upper,737.13
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,925.55
North India,Ladoo,Karva Chauth,Hindi,Upper,101.99
East India,Chhena Poda,Makar Sankranti,Odia,Lower,633.28
East India,Chhena Poda,Makar Sankranti,Bengali,Lower,949.1
West India,Puran Poli,Gudi Padwa,Konkani,Middle,641.98
West India,Shrikhand,Diwali,Marathi,Upper,862.82
East India,Pitha,Durga Puja,Bengali,Lower,136.13
East India,Rasgulla,Durga Puja,Odia,Lower,162.41
North India,Rasgulla,Holi,Punjabi,Upper,291.73
West India,Mohanthal,Diwali,Konkani,Upper,758.94
West India,Mohanthal,Diwali,Gujarati,Middle,728.24
South India,Boondi Laddu,Pongal,Telugu,Middle,552.15
North India,Barfi,Karva Chauth,Punjabi,Middle,397.44
South India,Mysore Pak,Onam,Tamil,Upper,295.7
West India,Puran Poli,Gudi Padwa,Konkani,Middle,664.14
East India,Rasgulla,Rath Yatra,Assamese,Middle,986.68
North India,Barfi,Baisakhi,Punjabi,Lower,195.28
West India,Puran Poli,Diwali,Konkani,Lower,118.98
North India,Barfi,Holi,Urdu,Middle,474.69
East India,Chhena Poda,Durga Puja,Bengali,Middle,693.74
West India,Puran Poli,Navratri,Gujarati,Upper,475.72
West India,Mohanthal,Diwali,Marathi,Middle,192.74
East India,Sandesh,Poila Baisakh,Assamese,Lower,509.91
East India,Chhena Poda,Poila Baisakh,Assamese,Lower,586.26
South India,Boondi Laddu,Onam,Malayalam,Lower,644.92
South India,Mysore Pak,Pongal,Tamil,Lower,795.8
North India,Rasgulla,Diwali,Urdu,Middle,881.42
South India,Payasam,Diwali,Tamil,Upper,823.76
West India,Mohanthal,Diwali,Konkani,Lower,125.97
East India,Chhena Poda,Durga Puja,Odia,Middle,563.95
East India,Pitha,Makar Sankranti,Bengali,Upper,951.0
North India,Rasgulla,Baisakhi,Punjabi,Middle,878.19
South India,Boondi Laddu,Ugadi,Kannada,Upper,337.04
West India,Shrikhand,Gudi Padwa,Marathi,Middle,559.29
East India,Chhena Poda,Poila Baisakh,Odia,Lower,942.44
East India,Rasgulla,Poila Baisakh,Odia,Lower,828.99
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,180.95
East India,Rasgulla,Durga Puja,Assamese,Upper,435.66
South India,Mysore Pak,Onam,Tamil,Lower,269.77
West India,Ladoo,Gudi Padwa,Gujarati,Upper,148.29
North India,Ladoo,Baisakhi,Urdu,Lower,421.32
South India,Boondi Laddu,Diwali,Kannada,Middle,848.55
West India,Puran Poli,Diwali,Gujarati,Lower,721.91
North India,Barfi,Karva Chauth,Punjabi,Middle,222.47
East India,Chhena Poda,Rath Yatra,Assamese,Upper,614.32
South India,Mysore Pak,Onam,Kannada,Middle,231.55
North India,Gulab Jamun,Diwali,Punjabi,Upper,200.74
North India,Rasgulla,Holi,Urdu,Lower,594.53
South India,Payasam,Pongal,Kannada,Upper,103.0
North India,Gulab Jamun,Karva Chauth,Urdu,Upper,489.0
East India,Pitha,Durga Puja,Bengali,Upper,808.58
South India,Kozhukattai,Pongal,Tamil,Upper,546.84
North India,Rasgulla,Holi,Hindi,Middle,650.33
North India,Barfi,Holi,Punjabi,Upper,422.29
South India,Kozhukattai,Onam,Tamil,Lower,932.73
East India,Pitha,Rath Yatra,Assamese,Middle,276.97
East India,Sandesh,Rath Yatra,Assamese,Lower,474.28
North India,Gulab Jamun,Baisakhi,Urdu,Middle,607.34
North India,Gulab Jamun,Holi,Hindi,Middle,671.72
East India,Rasgulla,Makar Sankranti,Assamese,Lower,991.82
South India,Boondi Laddu,Ugadi,Telugu,Middle,311.42
East India,Rasgulla,Poila Baisakh,Assamese,Middle,881.7
South India,Payasam,Ugadi,Malayalam,Lower,183.49
South India,Boondi Laddu,Pongal,Tamil,Middle,605.44
West India,Mohanthal,Diwali,Marathi,Upper,376.2
South India,Kozhukattai,Ugadi,Malayalam,Lower,938.28
West India,Puran Poli,Diwali,Gujarati,Upper,865.14
West India,Shrikhand,Gudi Padwa,Konkani,Lower,601.36
South India,Kozhukattai,Onam,Tamil,Middle,935.2
East India,Sandesh,Rath Yatra,Bengali,Upper,297.12
East India,Sandesh,Poila Baisakh,Bengali,Lower,528.78
North India,Barfi,Diwali,Hindi,Upper,836.23
West India,Mohanthal,Navratri,Marathi,Lower,874.89
West India,Ladoo,Gudi Padwa,Gujarati,Upper,792.21
South India,Boondi Laddu,Diwali,Malayalam,Middle,514.47
South India,Boondi Laddu,Onam,Malayalam,Middle,965.59
East India,Rasgulla,Rath Yatra,Odia,Middle,805.0
North India,Barfi,Diwali,Punjabi,Upper,544.1
North India,Barfi,Baisakhi,Urdu,Middle,526.83
West India,Ladoo,Diwali,Marathi,Lower,161.52
South India,Payasam,Pongal,Tamil,Upper,705.51
East India,Sandesh,Durga Puja,Assamese,Middle,654.82
North India,Rasgulla,Diwali,Punjabi,Middle,767.61
South India,Payasam,Onam,Telugu,Upper,778.22
South India,Mysore Pak,Ugadi,Malayalam,Upper,274.17
East India,Pitha,Poila Baisakh,Odia,Lower,978.57
East India,Rasgulla,Rath Yatra,Bengali,Upper,514.46
West India,Mohanthal,Navratri,Gujarati,Middle,620.94
South India,Payasam,Diwali,Tamil,Upper,156.21
North India,Gulab Jamun,Holi,Punjabi,Upper,118.04
North India,Gulab Jamun,Holi,Urdu,Upper,797.04
North India,Ladoo,Diwali,Punjabi,Lower,756.31
East India,Chhena Poda,Rath Yatra,Assamese,Upper,878.3
North India,Barfi,Holi,Punjabi,Lower,517.78
East India,Chhena Poda,Durga Puja,Odia,Lower,536.5
East India,Rasgulla,Rath Yatra,Assamese,Upper,450.52
North India,Rasgulla,Holi,Urdu,Lower,734.83
East India,Sandesh,Rath Yatra,Bengali,Lower,867.11
West India,Puran Poli,Navratri,Gujarati,Middle,861.65
South India,Boondi Laddu,Diwali,Telugu,Middle,698.23
West India,Mohanthal,Ganesh Chaturthi,Konkani,Upper,374.71
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Lower,353.26
East India,Sandesh,Poila Baisakh,Bengali,Middle,512.43
East India,Rasgulla,Poila Baisakh,Odia,Lower,449.23
West India,Shrikhand,Gudi Padwa,Marathi,Lower,283.28
East India,Pitha,Makar Sankranti,Assamese,Lower,660.3
North India,Ladoo,Baisakhi,Hindi,Middle,159.69
South India,Kozhukattai,Ugadi,Malayalam,Upper,836.69
North India,Rasgulla,Diwali,Hindi,Middle,273.31
North India,Gulab Jamun,Diwali,Hindi,Upper,841.62
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Upper,206.65
South India,Boondi Laddu,Diwali,Tamil,Lower,910.68
South India,Mysore Pak,Ugadi,Kannada,Lower,865.13
West India,Ladoo,Navratri,Gujarati,Lower,936.44
East India,Rasgulla,Poila Baisakh,Odia,Lower,185.09
North India,Rasgulla,Holi,Punjabi,Middle,874.96
South India,Boondi Laddu,Pongal,Tamil,Lower,299.26
East India,Rasgulla,Rath Yatra,Bengali,Lower,783.12
North India,Rasgulla,Diwali,Urdu,Upper,624.86
East India,Chhena Poda,Durga Puja,Odia,Upper,911.82
West India,Mohanthal,Navratri,Gujarati,Lower,859.49
East India,Rasgulla,Poila Baisakh,Assamese,Upper,805.9
West India,Ladoo,Navratri,Marathi,Upper,347.44
South India,Kozhukattai,Onam,Kannada,Upper,124.77
East India,Chhena Poda,Makar Sankranti,Odia,Upper,596.58
East India,Pitha,Poila Baisakh,Bengali,Upper,473.9
North India,Ladoo,Diwali,Urdu,Middle,615.06
North India,Ladoo,Karva Chauth,Urdu,Upper,525.03
North India,Rasgulla,Karva Chauth,Hindi,Upper,396.61
North India,Gulab Jamun,Diwali,Hindi,Middle,163.68
East India,Chhena Poda,Makar Sankranti,Odia,Upper,992.38
South India,Mysore Pak,Ugadi,Kannada,Lower,175.0
East India,Chhena Poda,Poila Baisakh,Odia,Lower,579.95
West India,Puran Poli,Diwali,Marathi,Middle,714.2
West India,Mohanthal,Ganesh Chaturthi,Konkani,Upper,655.75
South India,Kozhukattai,Onam,Malayalam,Upper,996.0
North India,Rasgulla,Holi,Hindi,Lower,380.08
East India,Sandesh,Makar Sankranti,Assamese,Upper,933.43
East India,Pitha,Poila Baisakh,Odia,Middle,243.38
East India,Pitha,Poila Baisakh,Assamese,Middle,160.36
South India,Mysore Pak,Ugadi,Malayalam,Middle,725.86
South India,Payasam,Onam,Tamil,Middle,158.35
West India,Puran Poli,Gudi Padwa,Gujarati,Middle,192.75
East India,Sandesh,Makar Sankranti,Assamese,Upper,125.7
North India,Gulab Jamun,Holi,Urdu,Middle,714.6
North India,Rasgulla,Karva Chauth,Punjabi,Lower,648.53
East India,Rasgulla,Durga Puja,Bengali,Middle,452.11
East India,Chhena Poda,Poila Baisakh,Odia,Middle,706.85
North India,Barfi,Diwali,Hindi,Lower,110.74
East India,Chhena Poda,Durga Puja,Assamese,Upper,510.72
South India,Boondi Laddu,Pongal,Tamil,Upper,358.27
West India,Mohanthal,Diwali,Konkani,Middle,168.33
West India,Ladoo,Gudi Padwa,Marathi,Middle,612.17
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,200.64
East India,Rasgulla,Makar Sankranti,Odia,Lower,593.78
East India,Chhena Poda,Rath Yatra,Odia,Upper,570.93
South India,Kozhukattai,Onam,Telugu,Upper,146.16
North India,Rasgulla,Diwali,Hindi,Lower,504.61
East India,Rasgulla,Poila Baisakh,Assamese,Middle,939.76
North India,Rasgulla,Baisakhi,Hindi,Middle,632.31
West India,Shrikhand,Navratri,Gujarati,Upper,441.62
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,672.33
East India,Chhena Poda,Rath Yatra,Bengali,Upper,916.13
East India,Pitha,Rath Yatra,Odia,Upper,628.93
East India,Rasgulla,Durga Puja,Odia,Middle,280.41
South India,Mysore Pak,Ugadi,Kannada,Upper,452.21
North India,Ladoo,Karva Chauth,Punjabi,Middle,673.78
West India,Ladoo,Diwali,Konkani,Middle,909.38
North India,Gulab Jamun,Baisakhi,Punjabi,Lower,518.28
North India,Ladoo,Karva Chauth,Punjabi,Upper,710.87
East India,Rasgulla,Durga Puja,Bengali,Lower,916.46
North India,Rasgulla,Holi,Punjabi,Middle,596.04
East India,Rasgulla,Poila Baisakh,Odia,Upper,562.47
North India,Rasgulla,Holi,Punjabi,Upper,100.42
South India,Payasam,Diwali,Tamil,Upper,342.28
West India,Ladoo,Ganesh Chaturthi,Marathi,Middle,970.11
North India,Barfi,Baisakhi,Punjabi,Middle,214.91
West India,Puran Poli,Navratri,Gujarati,Upper,732.79
North India,Rasgulla,Baisakhi,Punjabi,Upper,264.71
North India,Rasgulla,Baisakhi,Urdu,Middle,573.51
North India,Ladoo,Holi,Urdu,Lower,942.9
East India,Rasgulla,Makar Sankranti,Assamese,Lower,225.73
South India,Boondi Laddu,Pongal,Tamil,Lower,999.53
West India,Mohanthal,Diwali,Konkani,Lower,220.76
West India,Ladoo,Gudi Padwa,Konkani,Upper,961.89
North India,Rasgulla,Baisakhi,Punjabi,Middle,973.65
West India,Mohanthal,Gudi Padwa,Marathi,Lower,324.2
West India,Shrikhand,Diwali,Konkani,Upper,614.27
West India,Shrikhand,Gudi Padwa,Marathi,Upper,157.81
North India,Ladoo,Holi,Urdu,Upper,729.4
West India,Puran Poli,Navratri,Konkani,Lower,772.27
East India,Sandesh,Durga Puja,Bengali,Upper,576.5
East India,Pitha,Makar Sankranti,Odia,Middle,383.81
South India,Boondi Laddu,Pongal,Tamil,Lower,474.14
South India,Kozhukattai,Ugadi,Telugu,Upper,939.48
East India,Pitha,Poila Baisakh,Bengali,Upper,899.11
North India,Barfi,Diwali,Urdu,Middle,771.29
West India,Puran Poli,Diwali,Gujarati,Lower,578.8
East India,Rasgulla,Durga Puja,Odia,Middle,138.61
East India,Rasgulla,Rath Yatra,Bengali,Middle,820.25
West India,Mohanthal,Diwali,Konkani,Middle,830.59
East India,Sandesh,Durga Puja,Assamese,Middle,905.72
West India,Puran Poli,Navratri,Konkani,Lower,205.83
East India,Rasgulla,Makar Sankranti,Assamese,Upper,907.5
West India,Puran Poli,Gudi Padwa,Konkani,Upper,276.72
North India,Barfi,Baisakhi,Hindi,Upper,534.14
North India,Gulab Jamun,Diwali,Hindi,Lower,966.44
South India,Mysore Pak,Ugadi,Telugu,Middle,185.28
North India,Rasgulla,Diwali,Punjabi,Lower,753.03
North India,Barfi,Baisakhi,Urdu,Lower,831.46
North India,Rasgulla,Karva Chauth,Punjabi,Middle,934.66
South India,Mysore Pak,Pongal,Kannada,Lower,502.45
South India,Mysore Pak,Pongal,Kannada,Lower,736.57
North India,Ladoo,Karva Chauth,Punjabi,Middle,194.32
West India,Shrikhand,Diwali,Konkani,Upper,184.37
North India,Gulab Jamun,Karva Chauth,Punjabi,Upper,887.87
South India,Kozhukattai,Onam,Kannada,Lower,909.35
East India,Pitha,Rath Yatra,Bengali,Lower,568.78
South India,Mysore Pak,Ugadi,Malayalam,Upper,829.31
East India,Rasgulla,Poila Baisakh,Odia,Middle,909.11
North India,Barfi,Baisakhi,Hindi,Middle,899.67
North India,Ladoo,Karva Chauth,Punjabi,Lower,603.06
East India,Pitha,Makar Sankranti,Odia,Middle,230.62
North India,Ladoo,Holi,Hindi,Lower,804.63
North India,Gulab Jamun,Baisakhi,Hindi,Upper,826.91
South India,Mysore Pak,Diwali,Telugu,Middle,238.54
East India,Pitha,Poila Baisakh,Bengali,Lower,172.61
South India,Kozhukattai,Diwali,Tamil,Upper,382.74
South India,Mysore Pak,Pongal,Malayalam,Middle,384.84
South India,Mysore Pak,Pongal,Telugu,Upper,527.6
West India,Puran Poli,Gudi Padwa,Marathi,Upper,137.92
North India,Barfi,Karva Chauth,Urdu,Middle,173.45
East India,Pitha,Poila Baisakh,Odia,Lower,328.65
South India,Boondi Laddu,Onam,Telugu,Upper,848.4
West India,Ladoo,Ganesh Chaturthi,Gujarati,Middle,365.51
East India,Sandesh,Rath Yatra,Bengali,Lower,600.69
South India,Mysore Pak,Ugadi,Kannada,Middle,714.29
West India,Ladoo,Navratri,Marathi,Lower,826.54
South India,Payasam,Diwali,Telugu,Lower,964.04
West India,Shrikhand,Ganesh Chaturthi,Konkani,Lower,144.4
West India,Shrikhand,Ganesh Chaturthi,Konkani,Lower,694.13
East India,Pitha,Durga Puja,Odia,Middle,545.66
South India,Kozhukattai,Pongal,Kannada,Upper,598.08
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,110.39
East India,Pitha,Makar Sankranti,Odia,Lower,620.37
South India,Mysore Pak,Onam,Telugu,Upper,782.54
North India,Barfi,Diwali,Hindi,Middle,338.25
South India,Payasam,Onam,Tamil,Upper,420.0
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,410.15
West India,Ladoo,Diwali,Gujarati,Upper,282.87
West India,Puran Poli,Gudi Padwa,Konkani,Middle,842.06
North India,Rasgulla,Diwali,Urdu,Middle,781.84
East India,Pitha,Rath Yatra,Odia,Lower,536.2
East India,Chhena Poda,Durga Puja,Bengali,Middle,310.45
East India,Pitha,Durga Puja,Odia,Upper,556.61
West India,Mohanthal,Diwali,Gujarati,Upper,614.27
North India,Rasgulla,Baisakhi,Hindi,Middle,261.13
North India,Gulab Jamun,Baisakhi,Urdu,Middle,486.84
East India,Pitha,Poila Baisakh,Odia,Lower,174.76
East India,Chhena Poda,Makar Sankranti,Assamese,Upper,786.33
West India,Mohanthal,Navratri,Gujarati,Middle,268.88
East India,Rasgulla,Makar Sankranti,Bengali,Lower,826.55
South India,Payasam,Diwali,Kannada,Lower,205.62
North India,Rasgulla,Holi,Hindi,Middle,202.97
South India,Payasam,Diwali,Malayalam,Upper,999.69
West India,Puran Poli,Ganesh Chaturthi,Konkani,Middle,102.78
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,681.86
South India,Kozhukattai,Pongal,Kannada,Upper,657.16
South India,Kozhukattai,Pongal,Malayalam,Upper,710.02
North India,Barfi,Karva Chauth,Urdu,Upper,466.25
West India,Mohanthal,Ganesh Chaturthi,Marathi,Lower,466.03
South India,Mysore Pak,Onam,Telugu,Middle,459.22
West India,Mohanthal,Navratri,Marathi,Lower,684.18
East India,Sandesh,Rath Yatra,Bengali,Lower,142.19
North India,Barfi,Karva Chauth,Hindi,Lower,676.24
North India,Gulab Jamun,Holi,Hindi,Middle,477.84
South India,Mysore Pak,Diwali,Kannada,Middle,768.33
East India,Rasgulla,Rath Yatra,Odia,Lower,413.26
South India,Mysore Pak,Diwali,Kannada,Upper,373.18
West India,Shrikhand,Navratri,Konkani,Upper,549.86
South India,Boondi Laddu,Ugadi,Kannada,Upper,423.04
North India,Barfi,Karva Chauth,Hindi,Upper,946.47
West India,Ladoo,Gudi Padwa,Gujarati,Upper,595.37
South India,Payasam,Onam,Kannada,Middle,633.18
West India,Ladoo,Gudi Padwa,Gujarati,Middle,366.86
West India,Mohanthal,Gudi Padwa,Gujarati,Upper,865.16
East India,Pitha,Poila Baisakh,Assamese,Lower,998.0
West India,Ladoo,Diwali,Marathi,Lower,253.49
South India,Kozhukattai,Pongal,Telugu,Middle,453.19
East India,Chhena Poda,Durga Puja,Bengali,Lower,725.91
